season,mnth,weekday,workingday,weather_simplified,demand_level,prev_demand,prev_week_demand,temp_level,hum_level,state_id,deploy_mdp
1,1,6,0,1,0,0,0,0,2,0,985
1,1,0,0,1,0,0,0,0,1,1,501
1,1,1,1,0,0,0,0,0,0,2,2992
1,1,2,1,0,0,0,0,0,1,3,3196
1,1,3,1,0,0,0,0,0,0,4,1300
1,1,4,1,0,0,0,0,0,0,5,2989
1,1,5,1,1,0,0,0,0,0,6,1210
1,1,6,0,1,0,0,0,0,0,7,933
1,1,0,0,0,0,0,0,0,0,8,1844
1,1,2,1,1,0,0,0,0,1,9,1648
1,1,3,1,0,0,0,0,0,1,10,862
1,1,5,1,0,0,0,0,0,0,11,1236
1,1,1,0,1,0,0,0,0,0,12,700
1,1,2,1,1,0,0,0,0,2,13,2522
1,1,3,1,1,0,0,0,0,2,14,1850
1,1,4,1,1,0,0,0,0,0,15,1627
1,1,6,0,0,0,0,0,0,0,16,681
1,1,3,1,2,0,0,0,0,2,17,206
1,1,4,1,0,0,0,0,0,1,18,131
1,1,5,1,1,0,0,0,0,2,19,867
1,1,6,0,0,0,0,0,0,1,20,798
1,1,0,0,0,0,0,0,0,2,21,796
1,1,1,1,1,0,0,0,0,1,22,1201
1,2,2,1,1,0,0,0,0,2,23,1060
1,2,3,1,1,0,0,0,0,2,24,1226
1,2,4,1,0,0,0,0,0,0,25,1249
1,2,5,1,1,0,0,0,0,1,26,1408
1,2,6,0,1,0,0,0,0,2,27,705
1,2,0,0,0,0,0,0,0,1,28,2063
1,2,1,1,0,0,0,0,0,2,29,1412
1,2,2,1,0,0,0,0,0,0,30,1500
1,2,3,1,1,0,0,0,0,0,31,1305
1,2,5,1,0,0,0,0,0,0,32,1446
1,2,6,0,0,0,0,0,0,0,33,1644
1,2,0,0,0,0,0,0,0,0,34,1500
1,2,3,1,0,0,0,0,0,0,35,1805
1,2,4,1,0,0,0,0,1,0,36,2175
1,2,5,1,0,0,0,0,1,0,37,2627
1,2,1,0,1,0,0,0,0,1,38,807
1,2,2,1,0,0,0,0,0,1,39,1150
